NO_OF_FRAMES	6023
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-12-06, 11:17:41.673	1566107.75144280
DATA_INCLUDED	3D
MARKER_NAMES	CAMERA_UP	CAMERA_DOWN	CAMERA_LATERAL	CAMERA_CENTER	PROBE_CENT	PROBE_DIST	PROBE_LEFT	PROBE_RIGHT
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
1	0.00000	144.977	622.756	1103.624	121.076	644.086	1057.254	90.933	635.830	1080.512	120.847	633.409	1080.137	55.078	145.359	881.260	60.396	171.829	853.947	86.767	128.775	870.073	30.246	120.229	861.540
2	0.00500	144.940	622.777	1103.632	121.048	644.121	1057.255	90.934	635.829	1080.514	120.794	633.411	1080.118	54.954	145.338	881.231	60.299	171.773	853.933	86.670	128.802	870.025	30.199	120.213	861.524
3	0.01000	144.938	622.774	1103.621	121.081	644.125	1057.251	90.933	635.829	1080.512	120.807	633.401	1080.120	54.869	145.330	881.202	60.201	171.758	853.905	86.588	128.758	870.068	30.085	120.228	861.493
4	0.01500	144.963	622.788	1103.634	121.547	643.254	1057.288	90.862	635.766	1080.397	120.823	633.842	1080.213	54.763	145.351	881.291	60.132	171.751	853.902	87.247	128.935	869.697	29.147	121.026	861.083
5	0.02000	145.099	622.946	1103.446	121.558	643.212	1057.273	90.845	635.782	1080.366	120.887	633.865	1080.223	54.712	145.328	881.301	60.085	171.732	853.887	87.199	128.875	869.681	29.085	121.037	861.070
6	0.02500	144.958	622.780	1103.654	121.562	643.197	1057.266	90.888	635.761	1080.383	120.847	633.839	1080.263	54.670	145.299	881.196	60.052	171.715	853.799	87.160	128.870	869.684	29.001	121.039	861.057
7	0.03000	144.962	622.789	1103.668	121.632	643.188	1057.297	90.927	635.728	1080.414	120.903	633.839	1080.212	54.547	145.177	881.017	59.993	171.647	853.913	87.127	128.846	869.692	28.924	121.026	861.079
8	0.03500	144.916	622.745	1103.634	121.636	643.184	1057.299	90.905	635.719	1080.424	120.845	633.878	1080.206	54.475	145.178	881.008	59.900	171.588	853.899	87.046	128.864	869.654	28.865	121.030	861.086
9	0.04000	144.915	622.728	1103.627	121.598	643.196	1057.287	90.899	635.746	1080.413	120.841	633.873	1080.214	54.407	145.141	881.048	59.819	171.583	853.837	86.998	128.818	869.685	28.769	121.024	861.107
10	0.04500	144.898	622.738	1103.606	121.623	643.174	1057.288	90.905	635.741	1080.429	120.840	633.880	1080.191	54.348	145.105	881.015	59.799	171.546	853.718	86.943	128.764	869.666	28.708	120.957	861.113
11	0.05000	144.900	622.729	1103.627	121.636	643.179	1057.296	90.909	635.713	1080.410	120.852	633.881	1080.207	54.302	145.061	881.017	59.796	171.509	853.706	86.931	128.719	869.676	28.690	120.916	861.122
12	0.05500	144.995	622.757	1103.797	121.604	643.198	1057.285	90.896	635.722	1080.396	120.884	633.887	1080.243	54.252	144.995	881.066	59.735	171.416	853.792	86.906	128.675	869.719	28.692	120.872	861.136
13	0.06000	144.986	622.751	1103.812	121.610	643.191	1057.273	90.921	635.711	1080.418	120.919	633.895	1080.260	54.225	144.954	881.093	59.730	171.379	853.798	86.867	128.630	869.725	28.633	120.793	861.144
